Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop,resort_size_category,CountryGrouped
Le Grand Bornand,France,2100,1000,37.0,49,27,8,84,1,1,18,13,2,33,36904,233,1100,Large,France
Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,Austria,2378,600,52.0,28,41,13,83,1,1,22,12,5,39,59933,400,1778,Large,Austria
Grimentz-​Zinal,Switzerland,2900,1570,51.0,26,28,26,80,1,0,13,5,3,21,19345,96,1330,Large,Switzerland
Civetta-Alleghe-​Selva di Cadore-​Palafavera-​Zoldo,Italy,2100,1000,43.0,30,44,6,80,1,1,10,10,3,23,33289,100,1100,Large,Italy
Ax les Thermes,France,1400,720,37.0,40,25,15,80,1,0,11,6,2,19,21320,0,680,Large,France
Damüls Mellau,Austria,2050,690,49.0,37,39,1,79,1,0,10,13,2,25,37160,130,1360,Large,Austria
Zell am See,Austria,2000,760,50.0,30,28,19,77,1,1,9,10,8,27,48407,450,1240,Large,Austria
Cerler,Spain,2621,1505,42.0,35,27,14,76,1,0,10,9,0,19,20670,0,1116,Large,Spain
Three Peaks Dolomites-Helm-​Stiergarten-​Rotwand-​Kreuzbergpass,Italy,2200,1130,51.0,17,39,18,75,1,0,20,4,6,30,21535,250,1070,Large,Italy
Puy St. Vincent,France,2677,1407,34.0,28,34,13,75,1,1,4,8,0,12,17155,95,1270,Large,France
Folgaria-​Fiorentini,Italy,1850,1200,40.0,36,32,5,74,1,0,13,17,0,30,35900,280,650,Large,Italy
Titlis-Engelberg,Switzerland,3020,1000,57.0,34,26,12,72,1,0,7,6,7,20,23316,180,2020,Large,Switzerland
Trysil,Norway,1100,415,46.0,33,18,20,71,1,1,29,7,0,36,36182,418,685,Large,Norway
Nauders am Reschenpass-Bergkastel,Austria,2850,1400,42.0,24,34,13,71,1,0,11,5,1,17,17651,92,1450,Large,Austria
Grossarltal-​Dorfgastein,Austria,2033,850,50.0,25,43,1,70,1,0,7,8,5,20,29710,0,1183,Large,Austria
Katschberg,Austria,2220,1066,46.0,10,50,10,70,1,1,9,6,2,17,26458,750,1154,Large,Austria
Valfréjus,France,2737,1550,29.0,40,20,10,70,1,0,5,4,1,10,15800,80,1187,Large,France
Savognin,Switzerland,2713,1200,50.0,32,38,0,70,1,1,10,2,1,13,14000,100,1513,Large,Switzerland
Scuol-Motta Naluns,Switzerland,2785,1250,50.0,27,32,11,70,1,0,6,6,1,13,18000,136,1535,Large,Switzerland
Passo San Pellegrino-​Falcade,Italy,2513,1190,47.0,20,38,8,67,1,0,6,9,2,17,24030,0,1323,Large,Italy
Piau Engaly,France,2560,1420,37.0,35,22,8,65,1,0,5,5,0,10,13615,40,1140,Large,France
Flumserberg,Switzerland,665,425,51.0,10,38,17,65,1,1,9,8,4,21,30867,0,240,Large,Switzerland
Super Sauze,France,2450,1400,30.0,35,20,10,65,1,0,18,4,0,22,17948,100,1050,Large,France
Bukovel,Ukraine,1372,890,32.0,26,28,11,65,1,1,3,15,0,18,33839,0,482,Large,Other
La Norma,France,2750,1350,29.0,17,43,5,65,1,0,7,5,1,13,13290,126,1400,Large,France
Pal-​Arinsal-La Massana-Vallnord-,Andorra,1550,1230,37.0,31,24,8,63,1,0,15,12,4,31,37400,296,320,Large,Andorra
Arabba,Italy,2478,1602,49.0,32,22,8,62,1,0,3,16,4,23,43973,620,876,Large,Italy
Wildkogel-Neukirchen-​Bramberg,Austria,2150,820,44.0,28,25,9,62,1,1,15,4,5,24,27388,335,1330,Large,Austria
Hintertux Glacier,Austria,3250,1500,52.0,14,35,11,60,1,0,10,6,6,22,38852,260,1750,Large,Austria
Disentis 3000,Switzerland,2833,1227,49.0,20,30,10,60,1,0,9,3,1,13,10990,4,1606,Large,Switzerland
Belalp-Blatten,Switzerland,3118,1322,49.0,20,20,20,60,1,0,8,3,2,13,13640,0,1796,Large,Switzerland
San Martino di Castrozza,Italy,2357,1404,44.0,16,32,12,60,1,1,7,14,3,24,29859,150,953,Large,Italy
Meiringen-Hasliberg,Switzerland,1055,600,50.0,20,34,6,60,0,1,6,4,5,15,16381,75,455,Large,Switzerland
Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2262,900,52.0,10,45,5,60,1,1,18,3,4,25,19956,55,1362,Large,Switzerland
Alpe di Siusi-Seiser Alm-,Italy,1669,1000,54.0,14,45,1,60,1,0,9,15,3,27,35624,70,669,Large,Italy
Le Lioran,France,1850,1160,31.0,30,20,10,60,1,1,13,8,1,22,25195,241,690,Large,France
Saint Luc-​Chandolin-Anniviers-,Switzerland,3025,1655,47.0,20,30,10,60,1,0,11,3,1,15,10350,104,1370,Large,Switzerland
Les Karellis,France,2520,1600,27.0,26,25,9,60,1,0,10,6,0,16,17452,98,920,Large,France
Peyragudes,France,2400,1600,40.0,30,26,4,60,1,0,8,9,0,17,22791,230,800,Large,France
Leysin,Switzerland,2205,1250,45.0,43,15,2,60,1,0,8,7,1,16,12980,72,955,Large,Switzerland
Ponte di Legno-Passo ​Tonale-​Presena Glacier-​Temù-Pontedilegno-Tonale-,Italy,3016,1121,42.0,10,40,9,59,1,1,7,19,4,30,49825,0,1895,Large,Italy
Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2151,992,54.0,35,17,5,58,0,0,8,4,5,17,15363,0,1159,Large,Switzerland
Anzère,Switzerland,2420,1500,46.0,12,37,9,58,1,0,10,3,1,14,12462,120,920,Large,Switzerland
Borovets,Bulgaria,2560,1300,28.0,24,29,5,58,1,1,8,4,2,14,15800,160,1260,Large,Other
Font-Romeu-​Bolquère Pyrénées 2000,France,2213,1650,38.0,30,19,9,58,1,0,15,8,1,24,27378,535,563,Large,France
Oppdal,Norway,1300,585,44.0,40,7,9,56,0,0,1,0,0,1,0,0,715,Large,Norway
Brévent-​Flégère-Chamonix-,France,2525,1030,51.0,11,25,20,56,1,0,6,8,5,19,26734,0,1495,Large,France
Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000,584,43.0,25,25,5,55,1,0,5,8,3,16,19859,133,416,Large,France
Ylläs,Finland,718,200,42.0,21,28,6,55,1,1,27,1,1,29,28284,36,518,Large,Other
Belvedere-​Col Rodella-​Ciampac-​Buffaure-Canazei-​Campitello-​Alba-​Pozza di Fassa,Italy,2428,1320,48.0,7,40,7,55,1,1,11,18,10,39,56216,0,1108,Large,Italy
Lauchernalp-Lötschental,Switzerland,3111,1419,48.0,20,17,18,55,1,0,2,2,2,6,6800,28,1692,Large,Switzerland
Grossglockner Heiligenblut,Austria,2989,1301,44.0,20,34,1,55,0,0,8,1,4,13,12500,60,1688,Large,Austria
Brandnertal-Brand-​Bürserberg,Austria,2000,904,46.0,22,30,3,55,1,1,6,6,3,15,18963,82,1096,Large,Austria
Alpe du Grand-Serre-La Morte,France,2184,1367,27.0,36,17,2,55,1,0,12,3,0,15,13486,0,817,Large,France
Les Angles,France,2376,1600,38.0,22,23,10,55,1,1,15,4,1,20,21787,363,776,Large,France
Kopaonik,Serbia,2017,1057,30.0,30,19,6,55,1,1,14,13,0,27,35052,315,960,Large,Other
Aussois,France,2750,1500,29.0,30,22,3,55,1,0,4,4,0,8,9228,130,1250,Large,France
First-Grindelwald,Switzerland,2501,1050,55.0,30,15,8,53,1,0,3,3,3,9,12720,38,1451,Large,Switzerland
Sörenberg-Rothorn-​Dorf,Switzerland,2350,1110,44.0,30,15,8,53,1,1,12,3,2,17,20930,0,1240,Large,Switzerland
Riserva Bianca-Limone Piemonte,Italy,2060,1046,34.0,11,35,5,52,0,0,5,11,1,17,20655,0,1014,Large,Italy
Gitschberg Jochtal,Italy,1354,772,46.0,17,25,9,51,1,0,14,4,6,24,23617,90,582,Large,Italy
Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2970,796,55.0,19,23,9,51,1,0,3,7,6,16,13852,38,2174,Large,Switzerland
Pila,Italy,1540,570,42.0,8,35,6,50,1,0,5,8,4,17,22154,480,970,Medium,Italy
Brigels-​Waltensburg-​Andiast,Switzerland,2418,1110,49.0,13,33,3,50,1,1,9,4,0,13,10030,100,1308,Medium,Switzerland
Aprica,Italy,2270,1162,38.0,28,14,7,50,1,0,10,4,2,16,13965,0,1108,Medium,Italy
Bormio-Cima Bianca,Italy,3012,1225,40.0,14,34,2,50,1,1,8,5,2,15,17630,240,1787,Medium,Italy
Sedrun-Oberalp,Switzerland,2300,1500,53.0,10,35,5,50,1,0,7,5,0,12,12100,0,800,Medium,Switzerland
Grosseck-​Speiereck-Mauterndorf-​St. Michael,Austria,2400,1095,41.0,26,17,7,50,0,1,6,4,2,12,14286,150,1305,Medium,Austria
Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610,923,24.0,30,17,3,50,1,0,27,6,0,33,29480,0,687,Medium,France
Pragelato,Italy,2700,1335,43.0,14,32,4,50,0,0,4,1,0,5,3660,0,1365,Medium,Italy
Porté Puymorens,France,2471,1600,30.0,21,20,9,50,1,0,5,4,0,9,7380,70,871,Medium,France
Mythenregion,Switzerland,1070,573,39.0,18,31,1,50,1,0,11,0,4,15,12592,55,497,Medium,Switzerland
Candanchú,Spain,2236,1514,41.0,15,18,15,50,0,0,19,6,0,25,19650,0,722,Medium,Spain
Zugspitze,Germany,2000,700,45.0,7,13,0,20,0,0,4,2,4,10,13150,0,1300,Small,Germany
Lindvallen-​Högfjället-Sälen-,Sweden,887,579,41.0,22,17,3,42,1,1,49,4,0,53,50505,0,308,Medium,Sweden
Jasná Nízke Tatry-Chopok,Slovakia,2004,943,39.0,19,17,7,44,1,1,19,8,5,32,35225,527,1061,Medium,Slovakia
Tandådalen-​Hundfjället-Sälen-,Sweden,872,572,41.0,18,15,12,45,1,1,42,4,0,46,42636,0,300,Medium,Sweden
Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Southern Russia,949,547,32.0,7,10,2,20,0,1,6,6,6,18,27874,0,402,Small,Other
Steinplatte-​Winklmoosalm-Waidring-​Reit im Winkl,Austria,1860,740,46.0,18,22,2,42,1,0,3,9,2,14,31940,107,1120,Medium,Austria
Rigi,Switzerland,1315,439,44.0,4,4,0,9,0,0,4,0,3,7,6500,0,876,Small,Switzerland
Métabief,France,1420,1000,26.0,19,18,2,40,0,0,20,8,0,28,24745,0,420,Medium,France
Latemar-Obereggen-​Pampeago-​Predazzo,Italy,1540,1050,47.0,9,32,7,48,1,1,6,13,3,22,36540,200,490,Medium,Italy
Mariborsko Pohorje-Maribor,Slovenia,1327,325,31.0,23,13,5,41,0,1,16,5,1,22,23436,92,1002,Medium,Other
Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966,1240,29.0,22,16,6,45,1,0,18,6,0,24,26205,60,726,Medium,France
Espace Dôle-La Dôle-​Les Tuffes,France,1678,1137,27.0,17,8,2,28,1,0,18,3,0,21,19380,0,541,Medium,France
Kreischberg,Austria,2118,868,44.0,17,16,9,42,1,0,7,4,3,14,18808,110,1250,Medium,Austria
Garmisch-Classic-Garmisch-Partenkirchen,Germany,2050,732,43.0,12,18,10,40,1,0,11,4,4,19,21090,0,1318,Medium,Germany
Carezza Ski,Italy,2337,1200,41.0,21,14,3,40,1,0,13,5,2,20,19200,175,1137,Medium,Italy
Pizol-Bad Ragaz-​Wangs,Switzerland,510,490,51.0,14,21,8,43,1,1,5,4,2,11,12786,62,20,Medium,Switzerland
SuperBesse-Puy de Sancy,France,1850,1300,32.0,30,9,4,43,1,1,16,5,1,22,21245,299,550,Medium,France
Stöten,Sweden,830,443,41.0,26,3,3,32,0,0,17,2,0,19,19250,0,387,Medium,Sweden
Fellhorn-​Kanzelwand-Oberstdorf-​Riezlern,Austria,1967,920,45.0,13,19,2,34,1,1,7,6,4,17,22076,110,1047,Medium,Austria
Idre Fjäll,Sweden,890,588,40.0,17,22,2,41,1,1,21,4,0,25,24760,0,302,Medium,Sweden
Großglockner Resort Kals-Matrei,Austria,2422,933,47.0,8,22,6,37,1,0,9,5,3,17,18276,0,1489,Medium,Austria
Pamporovo,Bulgaria,1926,1620,28.0,17,6,5,29,1,1,6,7,0,13,14266,130,306,Medium,Other
Abetone-​Val di Luce,Italy,1892,1240,30.0,14,28,1,44,1,0,6,10,1,17,24056,110,652,Medium,Italy
Gerlitzen,Austria,1000,520,45.0,10,27,3,41,1,0,10,7,1,18,22220,120,480,Medium,Austria
Paganella-Andalo,Italy,2125,1030,40.0,9,22,1,33,1,1,4,12,2,18,23996,0,1095,Medium,Italy
Melchsee-Frutt-Kerns-,Switzerland,2255,1080,44.0,20,6,10,36,1,1,5,4,2,11,14150,110,1175,Medium,Switzerland
Vall de Núria,Spain,1964,912,30.0,4,2,1,7,0,0,3,1,2,6,4840,0,1052,Small,Spain
Arêches-Beaufort-,France,2300,1050,29.0,15,20,15,50,1,0,9,5,0,14,14462,45,1250,Medium,France
Špindlerův Mlýn,Czech Republic,1235,702,34.0,8,13,2,24,1,1,17,6,0,23,21638,0,533,Small,Other
Les Mosses-​La Lécherette,Switzerland,1870,1445,31.0,10,30,0,40,0,0,14,0,0,14,10540,0,425,Medium,Switzerland
Cimone-Montecreto-​Sestola-​Le Polle,Italy,1976,900,35.0,15,25,10,50,1,0,6,13,1,20,23746,0,1076,Medium,Italy
Luchon Superbagnères,France,1440,635,34.0,16,10,6,32,1,0,7,5,1,13,15965,180,805,Medium,France
Lélex-​Crozet,France,900,640,28.0,16,7,4,28,1,0,15,2,2,19,16750,120,260,Medium,France
Alpika Service,Southern Russia,2228,535,22.0,10,10,5,25,0,0,1,1,7,9,18120,0,1693,Small,Other
Sinaia,Romania,880,834,32.0,3,11,4,20,0,0,2,3,4,9,9864,0,46,Small,Other
Gourette-Eaux Bonnes-,France,2450,1350,38.0,18,13,4,35,1,0,4,5,3,12,19660,158,1100,Medium,France
Rauriser Hochalmbahnen-Rauris,Austria,2175,940,43.0,15,12,5,32,1,0,6,1,3,10,11927,35,1235,Medium,Austria
Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1850,1035,46.0,15,30,5,50,1,0,8,5,1,14,16650,0,815,Medium,Switzerland
Meran 2000,Italy,1609,648,39.0,12,25,3,40,1,0,3,5,2,10,9478,0,961,Medium,Italy
Nätschen-Andermatt,Switzerland,2344,1444,44.0,8,5,8,21,0,0,1,4,2,7,13600,0,900,Small,Switzerland
Albiez-Montrond,France,2200,1500,25.0,25,7,3,35,0,0,8,5,0,13,10432,0,700,Medium,France
Tarvisio-Monte Lussari,Italy,1752,754,35.0,9,11,5,25,1,1,5,8,2,15,17354,0,998,Small,Italy
Mount Parnassos-Fterolakka-​Kellaria,Greece,2300,1600,30.0,18,15,3,36,0,0,9,3,5,17,20052,0,700,Medium,Other
Moelltal Glacier-Mölltaler Gletscher-,Austria,2108,1222,47.0,5,7,4,17,1,0,2,5,2,9,15610,45,886,Small,Austria
Wendelstein-Brannenburg-​Osterhofen,Germany,1723,791,35.0,0,7,4,11,0,0,2,0,2,4,3250,0,932,Small,Germany
Glenshee,United Kingdom,900,650,33.0,24,10,2,36,0,0,18,3,0,21,16255,6,250,Medium,Other
Sulden am Ortler-Solda all'Ortles-,Italy,3250,1900,41.0,17,13,14,44,1,1,4,6,3,13,15418,0,1350,Medium,Italy
Poiana Brașov,Romania,1799,1021,32.0,5,2,5,13,0,1,5,2,3,10,11038,145,778,Small,Other
Hinterstoder-Höss,Austria,2000,600,44.0,12,18,10,40,1,0,15,2,2,19,18464,267,1400,Medium,Austria
St. Jean Montclar,France,2500,1350,28.0,25,20,5,50,0,0,10,4,0,14,13320,0,1150,Medium,France
Port del Comte,Spain,2310,1745,33.0,20,15,5,40,0,0,11,5,0,16,13750,0,565,Medium,Spain
Tänndalen,Sweden,1038,743,41.0,20,15,3,38,0,0,15,2,0,17,19270,0,295,Medium,Sweden
Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1448,888,35.0,7,14,5,26,1,0,9,5,0,14,17624,0,560,Medium,Germany
Pitztal Glacier-Pitztaler Gletscher-,Austria,2685,1740,48.0,3,16,0,20,1,0,3,1,3,7,10935,0,945,Small,Austria
Tauplitz-Bad Mitterndorf,Austria,896,812,41.0,18,18,6,42,0,0,14,4,1,19,18525,135,84,Medium,Austria
Hochoetz-Oetz,Austria,1410,820,37.0,12,21,3,36,1,0,7,6,2,15,17422,89,590,Medium,Austria
Rosshütte-Seefeld,Austria,2064,1230,44.0,10,9,1,20,1,1,8,3,2,13,12363,208,834,Small,Austria
Malbun,Liechtenstein,2000,1600,42.0,11,9,3,23,1,0,6,3,0,9,8800,16,400,Small,Other
Špičák,Czech Republic,1202,854,23.0,3,3,0,8,1,1,11,1,0,12,7390,30,348,Small,Other
Riesneralm-Donnersbachwald,Austria,1820,950,40.0,15,12,3,30,0,0,5,3,0,8,6880,137,870,Medium,Austria
Berwang-​Bichlbach-​Rinnen,Austria,1743,1067,42.0,24,10,1,36,0,1,11,3,1,15,15623,130,676,Medium,Austria
Glungezer-Tulfes,Austria,2304,950,30.0,7,15,0,23,1,0,6,2,0,8,7116,2,1354,Small,Austria
Fanningberg,Austria,2115,1497,41.0,11,5,7,24,1,0,4,2,0,6,7162,36,618,Small,Austria
Turracher Höhe,Austria,2205,1400,45.0,14,24,3,42,1,1,12,5,1,18,18268,220,805,Medium,Austria
Indoor ski area Snow Arena-Druskininkai,Lithuania,163,97,29.0,1,0,0,1,1,1,4,1,0,5,2800,16,66,Small,Other
Niedere-Andelsbuch-​Bezau,Austria,1715,655,31.0,5,4,1,10,0,0,5,2,1,8,6043,2,1060,Small,Austria
Wurzeralm-Spital am Pyhrn,Austria,1870,810,41.0,10,10,2,22,0,0,5,2,1,8,9048,57,1060,Small,Austria
Präbichl-Vordernberg,Austria,1608,1100,37.0,6,11,3,20,1,0,4,2,0,6,6624,90,508,Small,Austria
Pfelders-Moos in Passeier-,Italy,2502,1601,33.0,5,9,4,18,1,1,4,1,1,6,4300,35,901,Small,Italy
Mitterdorf-Almberg-– Mitterfirmiansreut,Germany,1139,841,23.0,2,2,1,6,0,1,9,1,0,10,6266,31,298,Small,Germany
Lavarone,Italy,1650,1150,36.0,19,5,2,27,0,0,9,6,0,15,12040,70,500,Medium,Italy
Geißkopf-Bischofsmais,Germany,1116,835,24.0,1,5,0,8,1,1,8,1,0,9,6950,16,281,Small,Germany
Donovaly-Park Snow-,Slovakia,1361,914,26.0,5,5,0,11,1,1,23,1,1,25,13620,30,447,Small,Slovakia
Sudelfeld-Bayrischzell,Germany,1563,850,33.0,5,24,3,32,1,0,10,5,0,15,17477,100,713,Medium,Germany
Grüntenlifte-Kranzegg-Rettenberg-,Germany,1700,900,31.0,2,14,0,16,1,0,8,1,0,9,7420,12,800,Small,Germany
Grebenzen-St. Lambrecht,Austria,1870,1010,34.0,2,9,0,12,0,0,6,1,0,7,6790,25,860,Small,Austria
Kirchdorf,Austria,780,640,30.0,3,2,0,5,0,0,3,1,0,4,3570,6,140,Small,Austria
Nebelhorn-Oberstdorf,Germany,2224,828,44.0,2,5,4,11,0,0,3,2,3,8,5990,30,1396,Small,Germany
Lachtal,Austria,2222,1600,41.0,7,16,2,25,0,0,8,2,0,10,10620,53,622,Small,Austria
Ramsau am Dachstein-Rittisberg,Austria,1636,1035,36.0,14,10,1,25,0,0,14,1,0,15,10815,40,601,Small,Austria
Eibenstock,Germany,745,650,18.0,0,0,0,1,1,1,2,1,0,3,1980,8,95,Small,Germany
Bürchen-​Törbel-Moosalp,Switzerland,2550,1480,39.0,5,15,5,25,0,1,8,1,0,9,7470,7,1070,Small,Switzerland
Guzet,France,2100,1100,31.0,20,14,6,40,1,0,11,4,0,15,11130,100,1000,Medium,France
Schetteregg-Egg,Austria,1325,1070,32.0,3,6,1,10,1,0,7,1,0,8,6642,6,255,Small,Austria
