Resort,HighestPoint,LowestPoint,VerticalDrop,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Snowparks,NightSki,Country_Andorra,Country_Austria,Country_France,Country_Germany,Country_Italy,Country_Norway,Country_Other,Country_Slovakia,Country_Spain,Country_Sweden,Country_Switzerland
Saint-Lary-Soulan,-0.6815582790267126,-0.6636655130482109,-0.42658546321164725,0.016042004835966853,0.4327400688481036,-0.18418752982520353,-0.11359275888259773,0.1040743496465563,0.21068971268964268,0.11524870340362056,-0.1576600205952762,0.11123471742555552,0.07070675171341505,0.16338726578773766,1,1,0,0,1,0,0,0,0,0,0,0,0
Orcières Merlette 1850,0.8678971343976618,1.9333432492060065,-0.2649384021371521,-0.7218902176185201,0.34008918140564254,-0.023664117212592702,-0.2814728202030634,0.1040743496465563,0.41855516649604624,-0.2012551984809492,-0.1576600205952762,0.07905360420809919,-0.12726555224712507,-0.5448454314042755,1,0,0,0,1,0,0,0,0,0,0,0,0
Dévoluy-Superdévoluy-​La Joue du Loup,0.4891413666717036,0.9325691597053447,-0.03268687760483147,-0.5374071620048985,0.4327400688481036,-0.18418752982520353,-0.11359275888259773,0.1040743496465563,0.2799781972917772,-0.3595071494232341,-0.4606307129141358,-0.11403307509663874,-0.16975325420359946,-0.10525272280233632,1,0,0,0,1,0,0,0,0,0,0,0,0
Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,0.5580060517127869,0.43218211495501385,0.4318161714598098,0.016042004835966853,0.39567971387111917,-0.08386039694232177,-0.2814728202030634,0.1040743496465563,0.48784365109818073,0.4317526052881903,-0.309145366754706,0.3365025099477498,0.10319607153516012,-0.5448454314042755,1,0,0,0,1,0,0,0,0,0,0,0,0
Parsenn (Davos Klosters),1.03179508479544,-0.6686693834957141,1.888497733326525,1.7686310331653736,-0.3084670306915851,0.41777526747208704,0.22216736375833368,0.0690177266077163,-0.690060587138106,-0.2803811739520916,0.5997667102018729,-0.3071197544013767,-0.18821013749352272,-0.13211672166134372,1,0,0,0,0,0,0,0,0,0,0,0,1
Åre,-1.1305560254945757,-1.7445015297089257,-0.2296361704082394,0.2927665882563995,0.15478740652072034,-0.023664117212592702,-0.2255127997629082,0.025196947809166266,0.9035745587109878,-0.3595071494232341,-0.006174674435846377,0.27214028351283714,0.07649757173504784,-0.5448454314042755,1,1,0,0,0,0,0,0,0,0,0,1,0
Alto Sangro-Roccaraso-​Rivisondoli,0.06355761311780879,0.5797962931563615,-0.3448329265762704,-0.07619952297084402,0.0065459866127826,-0.14405667667205083,0.44600744551895466,0.01643279204945626,-0.2050411949231644,0.11524870340362056,-0.006174674435846377,-0.0496708486617261,0.02448863386285512,-0.5448454314042755,0,0,0,0,0,0,1,0,0,0,0,0,0
Chamrousse,0.2136826265073704,0.807472398517762,-0.31138870704361626,-0.7218902176185201,0.15478740652072034,-0.08386039694232177,-0.11359275888259773,0.01643279204945626,-0.41290664872956795,-0.2012551984809492,-0.4606307129141358,-0.3714819808362893,-0.24019738690121495,-0.35435525767676856,1,1,0,0,1,0,0,0,0,0,0,0,0
Valberg-​Beuil les Launes,-0.10309492468161281,0.8374956212027819,-0.761027658538189,-0.9063732732321419,0.15478740652072034,-0.08386039694232177,-0.11359275888259773,0.01643279204945626,0.5571321357003153,-0.2012551984809492,-0.6121160590735656,0.04687249099064287,-0.20675377464144798,0.43202725437781164,1,0,0,0,1,0,0,0,0,0,0,0,0
Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,-1.149838137306079,-0.01316235487278069,-1.5413927809667864,1.2151818663245082,0.13625722903222812,-0.023664117212592702,-0.33743284064321866,-0.0010955194699637507,-0.1357527103210299,-0.12212922300980676,0.29679601788301324,-0.0496708486617261,-0.018497902777130697,0.6762454258233335,1,1,0,0,0,0,0,0,0,0,0,0,1
