Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop
Verbier (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509
Nendaz (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509
Thyon (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509
Veysonnaz (4 Vallées),Switzerland,3330,821,66.0,107,202,103,412,1,1,39,17,19,75,85022,0,2509
Ischgl,Austria,2872,1377,52.0,47,142,49,238,1,0,13,25,7,45,88215,1200,1495
Kleine Scheidegg / ​Männlichen-Grindelwald / ​Wengen,Switzerland,2320,944,55.0,33,56,13,102,0,0,10,10,6,26,29250,0,1376
Kranjska Gora,Slovenia,1215,800,33.0,10,8,2,20,1,1,15,5,0,20,17774,0,415
Kuühtai,Austria,2520,1938,37.0,6,26,8,41,1,1,6,5,1,12,17254,80,582
La Grave - La Meije,France,3534,1470,49.0,3,0,0,3,0,0,1,0,2,3,1460,0,2064
Espace San Bernardo – La Rosière/​La Thuile,France,2641,1176,43.0,55,83,22,160,1,0,21,18,1,40,53669,0,1465
La Thuile / La Rosière - Espace San Bernardo,Italy,2641,1176,43.0,55,83,22,160,1,0,21,18,1,40,53669,0,1465
La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120
The Lecht,United Kingdom,775,637,33.0,5,9,4,18,1,1,12,1,0,13,9750,0,138
Les Deux alpes,France,3560,1280,49.0,110,56,34,200,1,1,26,21,7,54,72334,224,2280
Les Contamines-​Hauteluce,France,2437,1164,39.0,40,60,20,120,0,1,12,8,4,24,33972,0,1273
